Pass Index,Pass Time,Pass Distance,Ground Made Up,# Defenders Passed,Passer,Transition Index,Transition Trigger,Outcome,OutcomeMSG,OutcomeMSGaction,Team Id,Game Id
33,1.32,"(13.96, 16.2, 21.39)",[-25.41   5.89  33.69  56.86 -42.5 ],2.0,Jayson Tatum,1,TO,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
85,3.4,"(5.24, -9.68, 11.01)",[ 20.56  24.78 -20.14   3.38 -26.38],1.0,Jaylen Brown,1,TO,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
122,4.88,"(0.45, 3.61, 3.64)",[-30.87   5.27  -9.13  -8.12  34.9 ],2.0,Jayson Tatum,1,TO,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
55,2.2,"(28.88, 7.22, 29.77)",[23.71 19.17 19.2  18.31 16.64],2.0,Derrick White,2,TO,shot,1.0,41.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
181,7.24,"(10.85, -20.48, 23.18)",[11.91  8.62  7.33 12.29  5.93],1.0,Jaylen Brown,3,TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
1,0.04,"(0.0, 0.0, 0.0)",[0. 0. 0. 0. 0.],0.0,Derrick White,4,TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
145,5.8,"(-22.5, -18.09, 28.87)",[-22.25 -19.02 -18.05 -23.92 -23.24],0.0,Jayson Tatum,4,TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
6,0.24,"(-0.95, -0.55, 1.1)",[-1.   -1.   -0.93 -1.12 -1.42],0.0,Robert Williams III,6,TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
132,5.28,"(23.3, 24.19, 33.59)",[15.8  14.78 15.99 24.36 11.48],1.0,Jaylen Brown,6,TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
20,0.8,"(5.66, 18.05, 18.92)",[  0.14 -28.24  34.62  -7.68  11.42],1.0,Jayson Tatum,7,TO,shot,2.0,101.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
64,2.56,"(3.87, -10.3, 11.0)",[ 29.39  23.01 -58.99   5.21 -14.05],1.0,Marcus Smart,7,TO,shot,2.0,101.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
91,3.64,"(5.76, -4.41, 7.25)",[  4.84 -16.96  26.73 -20.98  26.  ],1.0,Jayson Tatum,7,TO,shot,2.0,101.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
49,1.96,"(7.39, -3.92, 8.37)",[7.7  6.51 6.63 5.09 7.11],1.0,Grant Williams,8,TO,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
84,3.36,"(-0.05, 1.1, 1.1)",[-0.46 -0.58  0.09 -0.72 -0.85],0.0,Al Horford,8,TO,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
102,4.08,"(-0.24, -4.17, 4.18)",[-1.94 -1.47 -1.15 -0.89 -1.69],0.0,Derrick White,9,TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
149,5.96,"(11.05, -4.39, 11.89)",[-5.16  1.61 19.1  17.13 11.39],0.0,Robert Williams III,10,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
62,2.48,"(3.87, 1.69, 4.22)",[1.59 0.82 1.95 2.03 1.69],0.0,Jaylen Brown,11,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
171,6.84,"(1.75, -7.0, 7.22)",[ 0.05  0.31 -0.03  4.71  0.17],0.0,Marcus Smart,11,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
55,2.2,"(2.64, -2.62, 3.72)",[2.29 0.42 0.17 0.32 3.03],0.0,Al Horford,12,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
160,6.4,"(0.78, 7.62, 7.66)",[-0.42 -1.49 -0.51  2.62  0.43],0.0,Marcus Smart,12,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
107,4.28,"(31.58, -13.25, 34.25)",[24.27 22.84 16.35 30.98 23.25],0.0,Al Horford,13,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
72,2.88,"(1.54, 0.03, 1.54)",[0.51 0.86 0.25 0.73 1.06],0.0,Jayson Tatum,15,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
97,3.88,"(0.25, -1.55, 1.57)",[-1.14 -0.29 -1.72 -0.85 -0.42],0.0,Robert Williams III,15,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
163,6.52,"(20.4, 4.95, 20.99)",[13.74 13.96 14.12 20.53 19.12],0.0,Marcus Smart,16,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
87,3.48,"(4.95, -5.41, 7.33)",[1.94 0.72 0.23 0.56 1.03],0.0,Jaylen Brown,17,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
117,4.68,"(39.61, -4.51, 39.87)",[33.42 28.9  31.12 27.16 31.88],3.0,Jayson Tatum,17,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
178,7.12,"(-9.91, 3.42, 10.48)",[ -8.8   -9.18 -12.72 -10.23 -10.64],0.0,Grant Williams,17,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
106,4.24,"(5.33, -5.62, 7.75)",[0.66 2.21 5.12 1.55 1.23],0.0,Marcus Smart,18,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
141,5.64,"(5.45, 8.66, 10.23)",[ 1.41  0.88  4.65  1.78 -0.2 ],0.0,Derrick White,18,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
101,4.04,"(13.33, 6.17, 14.69)",[ 3.46  5.47 10.18  4.93 10.04],0.0,Marcus Smart,19,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
130,5.2,"(0.32, -9.22, 9.23)",[-11.11  -6.22  -2.29  -7.08  -1.54],0.0,Derrick White,19,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
